stel|an,
bāt,
cȳð|an,
frēod,
heofon,
mete,
ċild,
dæg,
frēond,
nama,
eorðe,
cniht,
mægden,
hund,
bryċġ,
gāst,
gōd,
cēp|an,
cēpte,
mæt|an,
mētte,
niht,
hlæhh|an,
tōh,
mann,
lamb,
nacod
